Device_id,Name,Type,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Dim
0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1780496216334679.930	,14.900,0.130000,0
0,aclnnMul_TransposeAiCore_Transpose,N/A,N/A,1780496216334694.870	,15.300,0.000000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496216334710.190	,9.900,0.200000,0
0,aclnnNeg_AsStridedAiCore_AsStrided,N/A,N/A,1780496216334720.110	,10.360,0.000000,0
0,aclnnNeg_NegAiCore_Neg,N/A,N/A,1780496216334730.490	,7.440,0.140000,0
0,aclnnCat_AsStridedAiCore_AsStrided,N/A,N/A,1780496216334737.970	,9.320,0.060000,0
0,aclnnCat_ConcatD_ConcatD,N/A,N/A,1780496216334747.310	,6.640,0.000000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496216334753.990	,6.920,0.110000,0
0,aclnnAdd_AddAiCore_Add,N/A,N/A,1780496216334760.930	,8.820,0.080000,0
0,aclnnMul_TransposeAiCore_Transpose,N/A,N/A,1780496216334769.770	,12.980,0.000000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496216334782.770	,3.960,0.020000,0
0,aclnnNeg_AsStridedAiCore_AsStrided,N/A,N/A,1780496216334786.750	,5.660,0.040000,0
0,aclnnNeg_NegAiCore_Neg,N/A,N/A,1780496216334792.430	,2.520,0.090000,0
0,aclnnCat_AsStridedAiCore_AsStrided,N/A,N/A,1780496216334794.990	,5.160,0.000000,0
0,aclnnCat_ConcatD_ConcatD,N/A,N/A,1780496216334800.190	,3.280,0.090000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496216334803.490	,4.300,0.000000,0
0,aclnnAdd_AddAiCore_Add,N/A,N/A,1780496216334807.810	,3.200,0.000000,0
0,aclnnCat_TransposeAiCore_Transpose,N/A,N/A,1780496216334812.150	,11.120,1.300000,0
0,aclnnInplaceCopy_BroadcastToAiCore_BroadcastTo,N/A,N/A,1780496216334823.290	,10.900,0.000000,0
0,aclnnInplaceCopy_BroadcastToAiCore_BroadcastTo,N/A,N/A,1780496216334834.210	,7.040,0.100000,0
0,aclnnInplaceOne_OnesLikeAiCore_OnesLike,N/A,N/A,1780496216334841.290	,16.300,0.000000,0
0,aclnnTriu_Triu_Triu,N/A,N/A,1780496216334857.630	,27.340,0.200000,0
0,aclnnFlashAttentionScore_FlashAttentionScore_FlashAttentionScore,N/A,N/A,1780496216334886.250	,90.240,1.160000,0
0,aclnnInplaceCopy_TransposeAiCore_Transpose,N/A,N/A,1780496216334977.510	,13.760,1.010000,0
0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1780496216334991.290	,64.600,0.000000,0
0,aclnnAdd_AddAiCore_Add,N/A,N/A,1780496216335055.910	,8.780,0.150000,0
0,aclnnCast_CastAiCore_Cast,N/A,N/A,1780496216335064.710	,7.340,0.000000,0
0,aclnnPowTensorScalar_PowsAiCore_Pows,N/A,N/A,1780496216335072.070	,16.500,0.000000,0
0,aclnnMean_ReduceMeanAiCore_ReduceMean,N/A,N/A,1780496216335090.010	,15.040,1.500000,0
0,aclnnAdds_AddAiCore_Add,N/A,N/A,1780496216335105.750	,1.160,0.710000,0
0,aclnnRsqrt_RsqrtAiCore_Rsqrt,N/A,N/A,1780496216335106.930	,0.960,0.090000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496216335107.910	,19.380,0.040000,0
0,aclnnCast_CastAiCore_Cast,N/A,N/A,1780496216335127.330	,6.920,0.000000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496216335134.290	,11.840,0.080000,0
0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1780496216335146.150	,125.180,0.160000,0
0,aclnnSilu_SiluAiCore_Swish,N/A,N/A,1780496216335271.350	,13.200,0.000000,0
0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1780496216335284.570	,121.820,0.050000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496216335406.410	,10.420,0.180000,0
0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1780496216335416.850	,167.060,0.000000,0
0,aclnnAdd_AddAiCore_Add,N/A,N/A,1780496216335583.950	,9.460,0.190000,0
0,aclnnCast_CastAiCore_Cast,N/A,N/A,1780496216335593.430	,7.380,0.040000,0
0,aclnnPowTensorScalar_PowsAiCore_Pows,N/A,N/A,1780496216335600.830	,15.880,0.000000,0
0,aclnnMean_ReduceMeanAiCore_ReduceMean,N/A,N/A,1780496216335617.890	,16.320,1.370000,0
0,aclnnAdds_AddAiCore_Add,N/A,N/A,1780496216335634.870	,1.300,0.430000,0
0,aclnnRsqrt_RsqrtAiCore_Rsqrt,N/A,N/A,1780496216335636.190	,1.040,0.200000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496216335637.250	,18.500,0.000000,0
0,aclnnCast_CastAiCore_Cast,N/A,N/A,1780496216335655.790	,7.300,0.000000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496216335663.110	,11.200,0.000000,0
0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1780496216335674.330	,63.040,0.050000,0
0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1780496216335737.390	,17.940,0.210000,0
0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1780496216335755.350	,15.560,0.000000,0
0,aclnnMul_TransposeAiCore_Transpose,N/A,N/A,1780496216335770.930	,14.860,0.190000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496216335785.810	,10.080,0.000000,0
